model,K,quarter,train_start,train_end,eval_start,eval_end,universe_size,assets_dropped,train_length_days,TE_annual_insample,TE_annual_oos,information_ratio_oos,sharpe_ratio_oos,max_drawdown_te_oos,portfolio_return_oos,benchmark_return_oos,tracking_difference,asset_active_share,sector_active_share,n_eff_absolute,diversification_norm,turnover,composition_stability,avg_weight_stability,assets_added,assets_removed,execution_time,solver_gap,solver_optimal
LASSO,150,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.006325506562282659,0.024981837509518108,-2.7768980441805904,3.4608610711967307,-0.026175855822966262,0.08356864896535532,0.10158014260367709,-0.018011493638321774,0.4941150183715468,0.14514009083171786,54.27527739481837,0.36183518263212244,0.5931635587892125,0.6333333333333333,0.7034182206053938,55,55,2.561650514602661,,
MIQP_Gurobi,150,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.010157521872948409,0.027738176633747967,-2.357101486634202,3.4281570070512206,-0.02957555604804369,0.08456079536977623,0.10158014260367709,-0.01701934723390086,0.5258675131178125,0.1377808518880425,49.38662981187469,0.3292441987458313,0.5603863260544921,0.7933333333333333,0.7198068369727539,31,31,1.4648487567901611,0.00216484729120136,True
Layered,150,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.013729588913989715,0.028240639473608053,-1.6553386823333414,3.6317287093625827,-0.026345182402372182,0.08946782014012133,0.10158014260367709,-0.012112322463555758,0.5607430395869857,0.052394487640888165,44.9599031889514,0.29973268792634267,0.6543507089967944,0.7866666666666666,0.6728246455016028,32,32,2.4235260486602783,0.0038290563716336565,True
Stratified,175,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.00784570520140624,0.025163562451175295,-1.8868641798669075,3.745223992715324,-0.02254624991556696,0.08935741119987073,0.10158014260367709,-0.012222731403806364,0.41497848455574904,0.14502755690661803,58.596957474559545,0.33483975699748314,0.27817592450895734,1.0,0.8609120377455213,0,0,0.41666340827941895,,
MarketCap,175,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.008024087471578458,0.024365064437508306,-2.194873376334622,3.6564718718710685,-0.02455904509779551,0.0877619662080995,0.10158014260367709,-0.013818176395577586,0.41379064237988245,0.1394494429617102,58.08895597751504,0.33193689130008597,0.3043887813603632,1.0,0.8478056093198184,0,0,0.5307743549346924,,
Contribution,175,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.025974654586032618,0.03133711352395941,-2.3233648179249617,3.27817361483071,-0.027766653140263685,0.08255518158677,0.10158014260367709,-0.019024961016907094,0.6982374489118321,0.24920032126708638,25.749768383359726,0.14714153361919843,0.35237483079555154,0.9485714285714286,0.8238125846022242,9,9,0.47174811363220215,,
LASSO,175,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.00639454151984669,0.024250731992729892,-2.4567110038656352,3.570741907817026,-0.024429934071187473,0.08614374258206103,0.10158014260367709,-0.015436400021616059,0.4907080063178015,0.1451760723730136,54.85764706155903,0.31347226892319446,0.5558955088393513,0.5828571428571429,0.7220522455803243,73,73,3.3392035961151123,,
MIQP_Gurobi,175,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.009146138123088628,0.027495952115550244,-1.976603382599443,3.6192262223565255,-0.02645271968795713,0.08751399984898689,0.10158014260367709,-0.014066142754690203,0.5014296045264854,0.144356343799699,52.05053624148189,0.2974316356656108,0.6369227842937468,0.7942857142857143,0.6815386078531266,36,36,2.040592670440674,0.0015714463527390673,True
Layered,175,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.012750989778141656,0.028398516364489382,-0.8332875909088838,3.844027440849285,-0.02618864249469885,0.09554981494107029,0.10158014260367709,-0.006030327662606805,0.52010531335111,0.05464595661566604,45.093126894280694,0.2576750108244611,0.6995402272306815,0.8114285714285714,0.6502298863846592,33,33,2.408757448196411,0.003094886120882695,True
Stratified,200,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.007408393110481485,0.0246348249991209,-1.8962527907802147,3.7466891566945018,-0.022683621100263156,0.08955496639634619,0.10158014260367709,-0.012025176207330901,0.40069204116463236,0.14361202436143775,60.37195270229106,0.3018597635114553,0.3421237524072181,1.0,0.828938123796391,0,0,0.4866316318511963,,
MarketCap,200,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.007511713858966045,0.024257615024937087,-2.1674681385352104,3.676201141011009,-0.023061220079228808,0.08800558740005093,0.10158014260367709,-0.01357455520362616,0.4072981828975609,0.13620743101423707,59.334350321651954,0.29667175160825976,0.31176739673944676,1.0,0.8441163016302766,0,0,0.5424599647521973,,
Contribution,200,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.024100609439587795,0.03137617406697383,-1.3345630490516864,3.539334225547341,-0.02222328131669713,0.09064742436701723,0.10158014260367709,-0.010932718236659866,0.6819179660164582,0.226407951792333,28.8464072143612,0.144232036071806,0.4068181243621207,0.96,0.7965909378189396,8,8,0.6042871475219727,,
LASSO,200,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.006879264698620587,0.025088557203483835,-2.6256580942551047,3.4699957369015535,-0.02571293482271443,0.08446636818866127,0.10158014260367709,-0.017113774415015826,0.5047640220602148,0.14276900676116727,53.6942872951543,0.2684714364757715,0.7224633366743707,0.53,0.6387683316628147,94,94,3.728848934173584,,
MIQP_Gurobi,200,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.013895758766237649,0.030532169103451298,-0.8892528491292859,3.8473244361999854,-0.027792143690847065,0.09465316401537582,0.10158014260367709,-0.006926978588301269,0.5471623864614623,0.11833679861033687,46.63955775148552,0.23319778875742758,0.7832961363041407,0.79,0.6083519318479296,42,42,1.7774052619934082,0.004676727441372961,True
Layered,200,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.010519778614908156,0.02892194119599797,-1.8273153814031786,3.576265750098085,-0.028169073295602094,0.08786686551773881,0.10158014260367709,-0.01371327708593828,0.5060506927942376,0.048527721797920836,48.35370791169971,0.24176853955849853,0.7724649214520616,0.775,0.6137675392739692,45,45,2.5009360313415527,0.0016351577029664664,True
