Asset,Benchmark_Weight,Portfolio_Weight
HCA,0.0025018396585465962,0.00225930555243119
SLB,0.0016400440166750975,0.0022574019432309283
AMGN,0.004387764787597798,0.0022308671519303746
PCG,0.0008766317473002814,0.0022021025911986413
NI,0.00047027708760020835,0.002187185058797692
TXN,0.004038806904319472,0.0021437863787344543
TKO,0.00037855529323446935,0.0021411870390096372
TTD,0.000234393899306986,0.002120684597162253
CMI,0.0017020482768280278,0.002109209810967373
TAP,0.00020226322202627345,0.002103829343303356
DXCM,0.0006113817598392818,0.002088744835818595
HRL,0.0002952586721354377,0.0020771476639564863
CLX,0.0003297827829023677,0.001987891249012061
ABBV,0.008488591407160686,0.0019797199815034957
FANG,0.0010338388438848997,0.00197437030868819
ADP,0.0017981931791685142,0.0019347906563835244
NUE,0.0008425996380515271,0.0019141883101338145
MMM,0.0018408691989688368,0.0018954684842831756
HD,0.007915408987288387,0.0018414748557922956
PNW,0.0002532484150883122,0.0018288132536069732
GIS,0.0005095509470745031,0.0017920011347808604
SHW,0.0018833736498995017,0.0017356571861265552
PLD,0.00281342869590565,0.001725292592938671
DVN,0.0005690568223893948,0.0017226555123659524
DOC,0.00025776138833638726,0.0017223848418032631
TDG,0.0015656861032960073,0.0017206343249998866
HUM,0.0004738809889528807,0.0017081558156714085
ZBH,0.000424765232348525,0.0017011643186218626
OTIS,0.0007507718287111667,0.001659929577287761
NXPI,0.001205456857257251,0.0016367712127998194
ACN,0.0026286608316680895,0.0016327488687531008
PYPL,0.0009107680481702854,0.0016157934210011184
APTV,0.0003416532691915705,0.001610198693050258
SO,0.002260813702068021,0.001568155791972207
SBUX,0.0023543308917205923,0.001551560089279019
IEX,0.0003297825224233146,0.0015054791421057893
HSIC,0.00020901776947259467,0.0014996282323211816
APA,0.00022631551048633765,0.0014986859631837784
DE,0.0035693052194472386,0.001494075509813863
RCL,0.0017995443708434193,0.0014601360066449948
NEM,0.002994491506091575,0.0014276335729402063
MMC,0.0019039837944988835,0.0013974107971205807
HSY,0.0010088829535895483,0.0013732139880831271
PKG,0.0004342953794651721,0.0013365941478557758
DECK,0.00035786939264380394,0.0013363751599341591
STT,0.0007730222967344212,0.0013273031434876408
AFL,0.0012607722758050106,0.001288326673067716
LUV,0.0005460620788850139,0.0012755958154215667
TGT,0.001084016834067895,0.0012394703679785687
AKAM,0.00030207918590196257,0.0012266924587264229
STZ,0.0005798747779446868,0.00122402377549472
SNA,0.00042181031455671103,0.0012150922846309278
AME,0.0011434649264461685,0.0012036665459080947
SJM,0.00025961932030255737,0.001200562470038483
TXT,0.00036030780217986076,0.0011851594636180017
DRI,0.000520118408607041,0.001156748281214733
PH,0.0026684009052343007,0.0011482710615083056
ALL,0.0011790333411502481,0.0011380501894334765
CB,0.0028399708168081756,0.0011330411243463433
O,0.0013332049885024617,0.0011158925271576834
A,0.0007204865804020742,0.0011068691473398928
ED,0.0008564591206837968,0.0011067015565699233
PFE,0.0032686304280667815,0.0011008971834688508
SW,0.0005097253378005697,0.0010970738155923806
HUBB,0.0005800605429227397,0.0010726969091064786
DG,0.000729536100252532,0.001061378614867259
CSX,0.001671742233607861,0.0010508405090111379
PPL,0.0006166578932998345,0.0010322165702596412
DLTR,0.0005384275680774766,0.0009919069633030648
IT,0.00022785270591176108,0.000989746203509116
ZTS,0.0012024693361706211,0.0009809703574404798
NVR,0.0004465910326888365,0.0009594717756844531
ATO,0.0006485413542525447,0.0009457588451330719
MTD,0.0005839356029697141,0.0009374434951859935
MAA,0.00034362513903689454,0.0009147544734848443
DAL,0.0009204419797242569,0.0009053536400244062
NDSN,0.0003420260798363542,0.0008731140150832044
HAL,0.0006422639827249588,0.0008572320155959801
SYY,0.00091401109920803,0.0008548140569461771
CMS,0.0005035281069949949,0.0008503392177674013
TDY,0.0006713930947567605,0.0008309246241753972
AON,0.0015122818195610183,0.000827925592971181
AWK,0.000563388971846119,0.0008216600614871788
PNC,0.001848160007665777,0.0008124251337434805
AIZ,0.00024350042065690247,0.0008018372562043226
TPR,0.0006732348553150491,0.0007991677112773742
ITW,0.0017627536147693799,0.0007615835097601025
NSC,0.0014873048304623639,0.0007342116307418283
AMCR,0.00047478211623716316,0.0007094989216718188
NOC,0.0021829009442245963,0.0005541515320275146
AMT,0.0018654764814647572,0.0005346791102921338
CI,0.0016233737045805669,0.0005252449955566412
GPN,0.00046073356922550094,0.0004980871420424964
PSKY,0.00027804480537680065,0.0004776280992061832
IR,0.00077674263222384,0.00045452631472376546
CVS,0.0020967718087821314,0.00041500170097586765
SOLV,0.0002829598497499603,0.00039080490585408003
AEE,0.0006588538502052497,0.0003510780268284721
GM,0.0015703045705605975,0.0002795090893933507
ROK,0.0009575309843141232,0.00021467330462185145
PPG,0.0005764717927683241,0.00016349333059768553
FTV,0.000394939034957388,0.00015152132654493026
GEN,0.00029022170185882823,0.00015018777741824857
CTVA,0.0011381896178359508,0.00014416127343227277
PNR,0.0003424948770122141,0.00010061357544871962
COO,0.0003505049769077684,9.421865202759267e-05
TSCO,0.0005674433717211693,6.798122303290792e-05
LNT,0.00039025618595350066,5.761994157458176e-05
MCHP,0.0008345082035716348,5.4070860592848526e-05
HII,0.00036563166842689857,5.349785281213975e-05
CCI,0.0008094851965069285,3.5920949301183026e-05
PAYX,0.0006968628668107499,3.2256743051740686e-05
TOTAL,0.9762105577398682,1.0000156641814064
