Asset,Benchmark_Weight,Portfolio_Weight
CFG,0.0005580862261089721,0.000649538967567562
NRG,0.000821690637151861,0.0006455687431113908
PCAR,0.0013795434306160584,0.0006448919440591237
HAL,0.0006422639827249588,0.0006383514963863163
PFG,0.0004394843826824549,0.00062509980596211
ALB,0.00045727840141216233,0.0006083292126397149
GDDY,0.0002452922777699301,0.0005525881386687467
DXCM,0.0006113817598392818,0.0005521567270736654
NCLH,0.00023286597259453625,0.0005410828289131051
ALGN,0.0002887569847299366,0.0005395755196669549
SLB,0.0016400440166750975,0.000538379237922269
MGM,0.0002126613070545174,0.0004989160115585092
PSKY,0.00027804480537680065,0.0004980223028403592
NTAP,0.00041009374968131675,0.0004917024972630102
TTD,0.000234393899306986,0.0004629775393609837
GPN,0.00046073356922550094,0.00046284676887997753
PAYX,0.0006968628668107499,0.00045428359416439963
ROL,0.0006105611639955902,0.0004265840767828337
ADP,0.0017981931791685142,0.00040096879421599557
MRNA,0.00042983115921320673,0.00039420194877217037
TSCO,0.0005674433717211693,0.0003752707423485183
AIG,0.0009184591263455261,0.00036514323577068386
HSY,0.0010088829535895483,0.00035984425281486345
SYF,0.0005316145213771412,0.00035433976614704865
PODD,0.0003717617390499428,0.0003394263026305156
STLD,0.0005907733951800963,0.00033128416319100026
CMS,0.0005035281069949949,0.00033025375478220345
LNT,0.00039025618595350066,0.00031899556105724133
FTNT,0.0012518622424875009,0.0003170992051840822
DLTR,0.0005384275680774766,0.0002910066502313679
SOLV,0.0002829598497499603,0.0002634641062802341
SMCI,0.0004125346988881416,0.0002560463772751652
SBAC,0.00044163858786496575,0.00023886915405095716
PPL,0.0006166578932998345,0.00023456815365809305
GL,0.0002489708931976735,0.000218046415671935
TRGP,0.0010590900306001426,0.00021563533818548276
A,0.0007204865804020742,0.00021164096173551322
COO,0.0003505049769077684,0.0002105518986103808
PAYC,0.0001413080195532122,0.00020143284634933445
ZTS,0.0012024693361706211,0.00019744526409154077
ARE,0.00019348816027145725,0.00019369623883717517
OTIS,0.0007507718287111667,0.00019183941075610162
OKE,0.0011169498085388172,0.00018135409213719512
HPQ,0.00037190239773862976,0.0001688064015834795
ACGL,0.0007657445988164882,0.00016111057278550705
MOH,0.00015906450759268205,0.000158016471253797
CTAS,0.0016839776293439026,0.00015359895417393476
AMCR,0.00047478211623716316,0.00014857071554042647
AWK,0.000563388971846119,0.00013209812509698364
GEN,0.00029022170185882823,0.00013061234781356712
NI,0.00047027708760020835,0.00012949923466168097
CI,0.0016233737045805669,0.0001229262529642138
CTVA,0.0011381896178359508,0.00012205331862569285
AFL,0.0012607722758050106,0.00011198446237055918
TTWO,0.0008292826464605636,0.00010888654696055446
CTSH,0.0006436361429636404,0.00010886402824695986
CMI,0.0017020482768280278,0.00010535630405755622
NDSN,0.0003420260798363542,0.00010492261667758042
PYPL,0.0009107680481702854,9.2039939038421e-05
HPE,0.000598599879049786,8.922010312818076e-05
DAL,0.0009204419797242569,6.843108933980667e-05
PTC,0.0003852049761553204,6.681188151717101e-05
SHW,0.0018833736498995017,6.587443631336047e-05
TPL,0.0007516918407268005,6.429824172086277e-05
GPC,0.00034044379982815255,4.743849658620612e-05
DVA,0.00021758160442191505,4.690517974116379e-05
CB,0.0028399708168081756,4.0991715570200845e-05
DG,0.000729536100252532,3.715343853401866e-05
DAY,0.00023699274223317948,3.609352726725637e-05
PKG,0.0004342953794651721,2.7734898827281415e-05
STT,0.0007730222967344212,2.3557348391390567e-05
RMD,0.0007908218723505953,1.9754717138828753e-05
AKAM,0.00030207918590196257,6.164282226380283e-06
RVTY,0.00023765850498637663,2.8788991807786245e-06
RJF,0.0006480246506374977,1.5777866303621078e-06
ALLE,0.00029195660088557275,1.1954835583681477e-06
TOTAL,0.9735022472760304,0.9999836075071318
