model,K,quarter,train_start,train_end,eval_start,eval_end,universe_size,assets_dropped,coverage_threshold,train_length_days,TE_annual_insample,TE_annual_oos,information_ratio_oos,sharpe_ratio_oos,max_drawdown_te_oos,portfolio_return_oos,benchmark_return_oos,tracking_difference,asset_active_share,sector_active_share,n_eff_absolute,diversification_norm,turnover,composition_stability,avg_weight_stability,retained_fraction,assets_added,assets_removed,execution_time,solver_gap,solver_optimal
Contribution,125,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.031029961801274358,0.030558829242239096,,-0.9864916298804013,-0.01276026262353807,-0.025935847113642163,-0.03647555543559822,0.010539708321956054,0.7194858522130116,0.30270929158654264,19.842264762521182,0.15873811810016947,0.28813037226138694,0.968,0.8559348138693066,0.968,4,4,0.22178864479064941,,
Contribution_sector,125,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.0407815383963136,0.03716384418087452,,-1.8117468766377338,-0.0217942356933991,-0.04798773753025698,-0.03647555543559822,-0.011512182094658763,0.7344644095148176,0.07752396879195649,22.266584328652602,0.1781326746292208,0.23993031594166037,0.968,0.8800348420291698,0.968,4,4,0.3362579345703125,,
LASSO,125,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.006910100370523539,0.015744277740122863,,-1.2037272282007394,-0.0044680519469162735,-0.031582294237472275,-0.03647555543559822,0.004893261198125942,0.5445058471980796,0.13956254455430916,53.9446144626731,0.4315569157013848,0.6263566703471765,0.68,0.6868216648264118,0.68,40,40,1.6453421115875244,,
LASSO_sector,125,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.010343513071511906,0.01807075270053023,,-1.0859427521702774,-0.006878712009195299,-0.028866403298104415,-0.03647555543559822,0.007609152137493802,0.5552793751669421,0.04861260637467088,47.33627981562763,0.37869023852502104,0.6476294154318452,0.68,0.6761852922840774,0.68,40,40,1.749908447265625,,
MIQP_Gurobi,125,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.011510465823021239,0.01857438996259284,,-1.3998249856143938,-0.009353899644155958,-0.036591449090020545,-0.03647555543559822,-0.00011589365442232769,0.5529056096378238,0.1596419546245911,48.54481964361454,0.3883585571489163,0.41556575108042093,0.824,0.7922171244597895,0.824,22,22,1.1591300964355469,0.0028068705471643125,True
Layered,125,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.012836663947576536,0.01848902354429206,,-1.3238227010557009,-0.007744656902801977,-0.03488553280881945,-0.03647555543559822,0.0015900226267787643,0.5636644691355456,0.05044666003394561,46.40050097612274,0.37120400780898194,0.7848519834019524,0.68,0.6075740082990237,0.68,40,40,2.395846128463745,0.0029569179572324976,True
Stratified,150,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.008799979354561139,0.014557499178137891,,-1.0373730519599436,-0.0033844328339463223,-0.02840417636243875,-0.03647555543559822,0.008071379073159468,0.4355460833753272,0.14696105934361203,57.9464481465721,0.3863096543104807,0.17473247081058982,1.0,0.9126337645947051,1.0,0,0,0.2774319648742676,,
Stratified_sector,150,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.011208733880456352,0.015921543764553868,,-0.9471151931451774,-0.006380136467339317,-0.02627305117242995,-0.03647555543559822,0.010202504263168266,0.44350584895459255,0.05276158847481488,55.83407495385256,0.37222716635901704,0.18531102799973492,1.0,0.9073444860001325,1.0,0,0,0.4319322109222412,,
MarketCap,150,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.008747129396721764,0.01495166301202014,,-0.9475940985460524,-0.002728617559367097,-0.025855923529185643,-0.03647555543559822,0.010619631906412574,0.4261897779497976,0.1365985990024062,60.5164300105017,0.403442866736678,0.18457808477334747,1.0,0.9077109576133262,1.0,0,0,0.2497546672821045,,
MarketCap_sector,150,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.011128182332839184,0.016527853745779576,,-0.8420243534861737,-0.0066478290746157355,-0.023423315796141986,-0.03647555543559822,0.013052239639456231,0.44221215084350024,0.047342933266076956,58.782162309219686,0.39188108206146455,0.20190982300188626,1.0,0.8990450884990568,1.0,0,0,0.3740971088409424,,
Contribution,150,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.027228021153749973,0.02542559209833903,,-1.0762903341462589,-0.009386045127000508,-0.0280562954634489,-0.03647555543559822,0.008419259972149318,0.716736112380514,0.26969225890465987,25.45658448863035,0.16971056325753567,0.5034107044380048,0.94,0.7482946477809975,0.94,9,9,0.25642943382263184,,
Contribution_sector,150,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.03510140769281483,0.02977011404605059,,-1.2687444096203946,-0.012980958324699692,-0.033046171185416306,-0.03647555543559822,0.0034293842501819105,0.7036370136945078,0.07317688323042511,27.296847874340354,0.1819789858289357,0.4203076259510461,0.94,0.789846187024477,0.94,9,9,0.4440927505493164,,
LASSO,150,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.0064594761394960775,0.015164259786841223,,-1.2994542210055966,-0.004757365561734282,-0.0337191456929572,-0.03647555543559822,0.0027564097426410195,0.5276632455833573,0.12762218110898008,57.007618215813366,0.3800507881054224,0.5277695862122257,0.74,0.7361152068938872,0.74,39,39,1.9994926452636719,,
LASSO_sector,150,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.009680711366556466,0.01795821452917882,,-1.2626255274874405,-0.0074750836504589475,-0.03305532557103563,-0.03647555543559822,0.003420229864562585,0.5389101850784086,0.048887808349374506,50.46289609317879,0.3364193072878586,0.5856594193218514,0.74,0.7071702903390743,0.74,39,39,2.0418694019317627,,
MIQP_Gurobi,150,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.010310185659812557,0.018063990999277968,,-1.4486310116658727,-0.007068326893684599,-0.03761249767722741,-0.03647555543559822,-0.0011369422416291908,0.5529263775037753,0.15513726362226257,51.393938573949974,0.3426262571596665,0.4492287175309698,0.82,0.775385641234515,0.82,27,27,1.1393167972564697,0.0021539807950464607,True
Layered,150,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.011337355511530265,0.017149726677729824,,-1.2269291424473299,-0.007397607882317546,-0.03218711529062357,-0.03647555543559822,0.004288440144974648,0.5415317229814469,0.05728035656751889,49.406621520696014,0.3293774768046401,0.9780081860697815,0.6066666666666667,0.5109959069651093,0.6066666666666667,59,59,2.3205344676971436,0.0019524929904472178,True
Stratified,175,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.008152430073913437,0.01461295886246448,,-1.1309598736683384,-0.003956032162787359,-0.03034927334279036,-0.03647555543559822,0.006126282092807855,0.4372442722559546,0.14558636481554663,59.32610556559413,0.3390063175176808,0.20271441400338602,1.0,0.898642792998307,1.0,0,0,0.3474905490875244,,
Stratified_sector,175,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.01064948292718285,0.016014665284773764,,-0.9955196159947979,-0.005628431871460937,-0.027318521110114014,-0.03647555543559822,0.009157034325484203,0.4519547539855268,0.050831774406349985,54.93219382230607,0.31389825041317754,0.23528296061214074,1.0,0.8823585196939296,1.0,0,0,0.465381383895874,,
MarketCap,175,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.008215310491821474,0.014349998225177242,,-1.0201935300698053,-0.0031325488239088498,-0.02765579033603882,-0.03647555543559822,0.008819765099559396,0.43146680813430494,0.13608910140034747,61.55607113818377,0.35174897793247867,0.19957179043122017,1.0,0.9002141047843899,1.0,0,0,0.29863452911376953,,
MarketCap_sector,175,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.010494374959391664,0.015200080813145547,,-0.9342954616606256,-0.004420672633358888,-0.025795991306080568,-0.03647555543559822,0.010679564129517649,0.4402552944955732,0.04839713210612897,58.87381039252965,0.336421773671598,0.23068743987612672,1.0,0.8846562800619366,1.0,0,0,0.3935232162475586,,
Contribution,175,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.02476270971960743,0.024444071843859536,,-1.3952900240681796,-0.012716377701654586,-0.036276976595313926,-0.03647555543559822,0.0001985788402842914,0.6931880252241106,0.20632757701228593,27.246929342859172,0.15569673910205242,0.2816534330231578,0.96,0.8591732834884211,0.96,7,7,0.3192574977874756,,
Contribution_sector,175,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.02995554695978331,0.02893802219521605,,-1.5406049626248772,-0.015809979056338595,-0.04012475193058784,-0.03647555543559822,-0.003649196494989626,0.692420127373574,0.06265976594665336,25.983166202002536,0.14847523544001448,0.24522064787053008,0.96,0.877389676064735,0.96,7,7,0.46517348289489746,,
LASSO,175,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.006422418112349543,0.01513102433958694,,-1.3368311821006589,-0.005753493543489162,-0.034732529328478035,-0.03647555543559822,0.0017430261071201825,0.5141537050118339,0.12787845048075003,57.9048336194452,0.3308847635396869,0.47393693582625884,0.7142857142857143,0.7630315320868706,0.7142857142857143,50,50,2.333301544189453,,
LASSO_sector,175,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.009351018047104158,0.016882518386121793,,-1.308022196560301,-0.006266907573070343,-0.033919774236176425,-0.03647555543559822,0.0025557811994217916,0.5315921141793015,0.04734297310642637,51.38754655846266,0.2936431231912152,0.5250883467628141,0.7142857142857143,0.7374558266185929,0.7142857142857143,50,50,2.5126383304595947,,
