model,K,n_daily_obs,IR_full_period,TE_annual_oos_full,portfolio_return_full_period,benchmark_return_full_period,tracking_difference_full_period,information_ratio_full_period,n_oos_days
Layered,100,808,1.4003540991499426,0.024523166407136338,0.9117438535384774,0.707610396454617,0.20413345708386044,1.4003540991499426,808
Stratified,125,808,2.874468780057539,0.02063432159575082,1.0709482094366134,0.707610396454617,0.3633378129819964,2.874468780057539,808
Stratified_sector,125,808,3.103160183964218,0.02188544357369287,1.1290451409026376,0.707610396454617,0.42143474444802065,3.103160183964218,808
MarketCap,125,808,2.9638224077698587,0.02022199085136451,1.0747238788481255,0.707610396454617,0.3671134823935085,2.9638224077698587,808
MarketCap_sector,125,808,3.067555271868219,0.021584332320537563,1.1171402825757908,0.707610396454617,0.4095298861211738,3.067555271868219,808
Contribution,125,808,0.223264470037075,0.038696013503259935,0.7519125086968195,0.707610396454617,0.044302112242202485,0.223264470037075,808
Contribution_sector,125,808,-0.30403984895563707,0.04595685470135334,0.627656655747296,0.707610396454617,-0.07995374070732097,-0.30403984895563707,808
LASSO,125,808,1.7539066314209935,0.022122946661366015,0.9384876839618683,0.707610396454617,0.23087728750725134,1.7539066314209935,808
LASSO_sector,125,808,2.007419149229974,0.0234609649036395,0.9909971281119827,0.707610396454617,0.2833867316573657,2.007419149229974,808
MIQP_Gurobi,125,808,1.1167944246130006,0.02357052409135391,0.8632136059508437,0.707610396454617,0.15560320949622675,1.1167944246130006,808
Layered,125,808,1.3536592492206676,0.024038266110917625,0.901493682075275,0.707610396454617,0.19388328562065804,1.3536592492206676,808
Stratified,150,808,2.7467518106106947,0.020272184553963086,1.0464371225976028,0.707610396454617,0.3388267261429858,2.7467518106106947,808
Stratified_sector,150,808,2.9917190459703384,0.02134929247742581,1.1011336919071164,0.707610396454617,0.3935232954524994,2.9917190459703384,808
MarketCap,150,808,3.03378752280356,0.019633276563093258,1.0719578628945379,0.707610396454617,0.3643474664399209,3.03378752280356,808
MarketCap_sector,150,808,3.2040073827102424,0.021026233911031835,1.124763730679379,0.707610396454617,0.417153334224762,3.2040073827102424,808
Contribution,150,808,0.546183697458848,0.03418574098983473,0.8117950823115709,0.707610396454617,0.10418468585695395,0.546183697458848,808
Contribution_sector,150,808,0.2647695915193464,0.038393993301672945,0.7625423845260542,0.707610396454617,0.05493198807143718,0.2647695915193464,808
LASSO,150,808,1.6880341702094115,0.021987688793541665,0.9280786806411137,0.707610396454617,0.22046828418649667,1.6880341702094115,808
LASSO_sector,150,808,2.0101985222915015,0.023367805472882072,0.9903189658567928,0.707610396454617,0.2827085694021758,2.0101985222915015,808
MIQP_Gurobi,150,808,0.7933456080480502,0.023640470393779943,0.8179605491507511,0.707610396454617,0.11035015269613413,0.7933456080480502,808
Layered,150,808,1.3494081387244379,0.022916725891397836,0.8903114408970443,0.707610396454617,0.1827010444424273,1.3494081387244379,808
Stratified,175,808,2.638657264700103,0.020229202930043082,1.0312288390589432,0.707610396454617,0.32361844260432626,2.638657264700103,808
Stratified_sector,175,808,3.1067480668610172,0.02111763572196651,1.1125735708419873,0.707610396454617,0.4049631743873703,3.1067480668610172,808
MarketCap,175,808,2.874013761001202,0.019698127314024903,1.0521757188770464,0.707610396454617,0.34456532242242943,2.874013761001202,808
MarketCap_sector,175,808,3.110368150341756,0.020874964452160485,1.107781189055396,0.707610396454617,0.4001707926007789,3.110368150341756,808
Contribution,175,808,0.34917859297685755,0.031525881552439676,0.7691463583889433,0.707610396454617,0.06153596193432631,0.34917859297685755,808
Contribution_sector,175,808,0.03927123256315958,0.03585378708838251,0.7150892958596047,0.707610396454617,0.007478899404987693,0.03927123256315958,808
LASSO,175,808,1.6454921662456836,0.021913975391638595,0.9213799678839012,0.707610396454617,0.2137695714292842,1.6454921662456836,808
LASSO_sector,175,808,1.8374933521618837,0.023312301656708202,0.963818094174899,0.707610396454617,0.25620769772028207,1.8374933521618837,808
MIQP_Gurobi,175,808,1.190969310926714,0.02283273454198271,0.8674953610686191,0.707610396454617,0.15988496461400215,1.190969310926714,808
Layered,175,808,1.6004068161059264,0.023503471419113908,0.9316028349349805,0.707610396454617,0.22399243848036354,1.6004068161059264,808
Stratified,200,808,2.674431730901315,0.020059473623961648,1.0331033904205045,0.707610396454617,0.3254929939658875,2.674431730901315,808
Stratified_sector,200,808,3.081799568073656,0.02118542450739207,1.11040939234381,0.707610396454617,0.4027989958891931,3.081799568073656,808
MarketCap,200,808,2.7017136608459613,0.01994374631671706,1.0344539423130037,0.707610396454617,0.3268435458583867,2.7017136608459613,808
MarketCap_sector,200,808,3.064269427813882,0.02054201583240361,1.094695302478335,0.707610396454617,0.38708490602371803,3.064269427813882,808
Contribution,200,808,0.6624098242708418,0.030077977141459676,0.8207024520609421,0.707610396454617,0.11309205560632507,0.6624098242708418,808
Contribution_sector,200,808,0.4690267862739844,0.03338451922392815,0.795850438628517,0.707610396454617,0.08824004217390002,0.4690267862739844,808
LASSO,200,808,1.7460300589962858,0.02219426583525075,0.938225885479085,0.707610396454617,0.23061548902446805,1.7460300589962858,808
LASSO_sector,200,808,1.9285824820106479,0.023456484168096613,0.9792471568700953,0.707610396454617,0.27163676041547835,1.9285824820106479,808
MIQP_Gurobi,200,808,1.1519981532459382,0.023362963174714733,0.8660144085956603,0.707610396454617,0.15840401214104327,1.1519981532459382,808
Layered,200,808,1.3474516932490337,0.021932089359433787,0.8821609654061513,0.707610396454617,0.1745505689515343,1.3474516932490337,808
