model,K,train_length_days,eval_length_days,TE_annual,TE_annual_oos,portfolio_return_oos,benchmark_return_oos,tracking_difference_oos,asset_active_share,sector_active_share,diversification,bench_diversification,execution_time
MarketCap,100,756,63,0.015990004404465172,0.02050648830326909,-0.025637409024832247,-0.04069498614565792,0.015057577120825671,0.4257400314658467,0.09972769090631624,0.4307344066497592,0.09034232650304058,0.3802824020385742
MarketCap_sector,100,756,63,0.017105002161000644,0.02528421723869915,-0.01959634403416377,-0.04069498614565792,0.021098642111494148,0.4200882689826037,0.034432849378341096,0.4410908211079539,0.09034232650304058,0.6192502975463867
Contribution,100,756,63,0.033709843213865366,0.05777352448971823,-0.07125115198482967,-0.04069498614565792,-0.030556165839171756,0.6521055351974528,0.342742995148346,0.21414774825075014,0.09034232650304058,0.4539663791656494
Contribution_sector,100,756,63,0.04892275471902595,0.0633660898203686,-0.070526627211152,-0.04069498614565792,-0.029831641065494074,0.7140105346023771,0.11475991262385754,0.16790065011592925,0.09034232650304058,0.5613870620727539
LASSO,100,756,63,0.012660486125969431,0.023315254022738874,-0.02772268726494964,-0.04069498614565792,0.012972298880708277,0.5039624379683477,0.10358139245718695,0.45087681824392434,0.09034232650304058,5.331164598464966
LASSO_sector,100,756,63,0.014699381058437764,0.026546283094766306,-0.01960023521948817,-0.04069498614565792,0.021094750926169747,0.49192167368811524,0.03767663621178893,0.4492545696139558,0.09034232650304058,5.229883670806885
MIQP_Gurobi,100,756,63,0.012994405432788769,0.021487100843791764,-0.02883869305738085,-0.04069498614565792,0.01185629308827707,0.4722097017553308,0.1360760519794819,0.4563254839639636,0.09034232650304058,1.7238578796386719
Layered,100,756,63,0.016490224563105886,0.028400481598328555,-0.03231867815830569,-0.04069498614565792,0.008376307987352227,0.5148802524106173,0.046885126967431245,0.42576776137152517,0.09034232650304058,3.4179797172546387
Stratified,125,756,63,0.015016723715423777,0.020714060523985285,-0.01969442565401469,-0.04069498614565792,0.021000560491643228,0.4098944381636339,0.11052066821910558,0.3611205383047592,0.09034232650304058,0.49799680709838867
Stratified_sector,125,756,63,0.016502193427632587,0.02536224463272638,-0.01588560685485907,-0.04069498614565792,0.02480937929079885,0.39765520833156764,0.037512165894727466,0.36501722352828553,0.09034232650304058,0.7658998966217041
